filename,text,voice
"convenience_store_cant_find_item_greeting_failed","可以這樣說：「你好！」","Sulafat"
"convenience_store_cant_find_item_ask_help_perfect","問得很清楚！","Sulafat"
"convenience_store_cant_find_item_ask_help_partial","說出了重點！試著說完整：「請問你們有賣牛奶嗎？」","Sulafat"
"convenience_store_cant_find_item_ask_help_failed","可以這樣說：「請問你們有賣牛奶嗎？」","Sulafat"
"convenience_store_cant_find_item_out_of_stock_perfect","很好！懂得詢問替代方案！","Sulafat"
"convenience_store_cant_find_item_out_of_stock_partial","說出了重點！可以問看看其他選擇","Sulafat"
"convenience_store_cant_find_item_out_of_stock_failed","可以這樣說：「好的，那有沒有其他飲料？」","Sulafat"
"convenience_store_cant_find_item_alternative_perfect","很好！知道怎麼解決問題！","Sulafat"
"convenience_store_cant_find_item_alternative_partial","說出了重點！加上謝謝更有禮貌","Sulafat"
"convenience_store_cant_find_item_alternative_failed","可以這樣說：「好的，我去看看！謝謝！」","Sulafat"
"convenience_store_cant_find_item_goodbye_perfect","說得很有禮貌！太棒了！","Sulafat"
"convenience_store_cant_find_item_goodbye_partial","有說謝謝！可以再加上「再見」","Sulafat"
"convenience_store_cant_find_item_goodbye_failed","可以這樣說：「謝謝！再見！」","Sulafat"
"convenience_store_expired_product_greeting_perfect","很好！","Sulafat"
"convenience_store_expired_product_greeting_partial","可以說得更完整","Sulafat"
"convenience_store_expired_product_greeting_failed","可以這樣說：「你好！」","Sulafat"
"convenience_store_expired_product_report_problem_perfect","很好！勇敢說出來！保護自己很重要！","Sulafat"
"convenience_store_expired_product_report_problem_partial","說出了重點！讓店員知道商品有問題是正確的！","Sulafat"
"convenience_store_expired_product_report_problem_failed","可以這樣說：「不好意思，這個好像過期了」","Sulafat"
"convenience_store_expired_product_wait_perfect","很好！有耐心等待！","Sulafat"
"convenience_store_expired_product_wait_partial","說出了重點！","Sulafat"
"convenience_store_expired_product_wait_failed","可以這樣說：「好的，謝謝！」","Sulafat"
"convenience_store_expired_product_thanks_perfect","說得很有禮貌！謝謝你讓店家改善商品品質！","Sulafat"
"convenience_store_expired_product_thanks_partial","有說謝謝！","Sulafat"
"convenience_store_expired_product_thanks_failed","可以這樣說：「謝謝！太好了！」","Sulafat"
"convenience_store_wrong_change_pay_perfect","說得很清楚！","Sulafat"
"convenience_store_wrong_change_pay_partial","說出了重點！","Sulafat"
"convenience_store_wrong_change_pay_failed","可以這樣說：「我給你 50 元」","Sulafat"
"convenience_store_wrong_change_wrong_change_perfect","很好！禮貌指出來很重要！","Sulafat"
"convenience_store_wrong_change_wrong_change_partial","說出了重點！有「不好意思」更有禮貌","Sulafat"
"convenience_store_wrong_change_wrong_change_failed","可以這樣說：「不好意思，找零好像不對」","Sulafat"
"convenience_store_wrong_change_corrected_perfect","說得很有禮貌！大度說「沒關係」很棒！","Sulafat"
"convenience_store_wrong_change_corrected_partial","有說謝謝！","Sulafat"
"convenience_store_wrong_change_corrected_failed","可以這樣說：「沒關係，謝謝！」","Sulafat"
"convenience_store_need_bag_after_pay_perfect","問得很有禮貌！","Sulafat"
"convenience_store_need_bag_after_pay_partial","說出了重點！可以說：「請問可以給我袋子嗎？」","Sulafat"
"convenience_store_need_bag_after_pay_failed","可以這樣說：「請問可以給我袋子嗎？」","Sulafat"
"convenience_store_need_bag_bag_cost_perfect","很好！","Sulafat"
"convenience_store_need_bag_bag_cost_partial","說出了重點！","Sulafat"
"convenience_store_need_bag_bag_cost_failed","可以這樣說：「好的，可以！」","Sulafat"
"convenience_store_need_bag_goodbye_perfect","說得很有禮貌！太棒了！","Sulafat"
"convenience_store_need_bag_goodbye_partial","有說謝謝！再加上「再見」","Sulafat"
"convenience_store_need_bag_goodbye_failed","可以這樣說：「謝謝！再見！」","Sulafat"
"breakfast_shop_basic_greeting_perfect","說得很好！早安打招呼很有禮貌！","Laomedeia"
"breakfast_shop_basic_greeting_partial","不錯！可以加上「早安」讓招呼更完整","Laomedeia"
"breakfast_shop_basic_greeting_failed","可以這樣說：「早安！」","Laomedeia"
"breakfast_shop_basic_order_main_perfect","點餐說得很清楚！","Laomedeia"
"breakfast_shop_basic_order_main_partial","說出了重點！試著說完整：「我要一份蛋餅」","Laomedeia"
"breakfast_shop_basic_order_main_failed","可以這樣說：「我要一份蛋餅」","Laomedeia"
"breakfast_shop_basic_customize_perfect","說得很清楚！","Laomedeia"
"breakfast_shop_basic_customize_partial","有說出重點！可以說：「要加蛋！」","Laomedeia"
"breakfast_shop_basic_customize_failed","可以這樣說：「要加蛋！」","Laomedeia"
"breakfast_shop_basic_order_drink_perfect","點飲料說得很好！","Laomedeia"
"breakfast_shop_basic_order_drink_partial","說出了飲料名稱！可以加上「我要」會更完整","Laomedeia"
"breakfast_shop_basic_order_drink_failed","可以這樣說：「我要熱豆漿」","Laomedeia"
"breakfast_shop_basic_checkout_perfect","說得很清楚！付款方式說明得很好！","Laomedeia"
"breakfast_shop_basic_checkout_partial","聽到了！說清楚付款方式會更好","Laomedeia"
"breakfast_shop_basic_checkout_failed","可以說：「我付現金」或「我要刷卡」","Laomedeia"
"breakfast_shop_basic_goodbye_perfect","道謝道得很有禮貌！太棒了！","Laomedeia"
"breakfast_shop_basic_goodbye_partial","有說謝謝！可以再加上「好的」更自然","Laomedeia"
"breakfast_shop_basic_goodbye_failed","可以這樣說：「好的，謝謝！」","Laomedeia"
"breakfast_shop_not_enough_money_greeting_perfect","早安說得很好！","Laomedeia"
"breakfast_shop_not_enough_money_greeting_partial","不錯！可以加上「早安」更應景","Laomedeia"
"breakfast_shop_not_enough_money_greeting_failed","可以這樣說：「早安！」","Laomedeia"
"breakfast_shop_not_enough_money_order_perfect","點餐說得很清楚！","Laomedeia"
"breakfast_shop_not_enough_money_order_partial","說出了部分！試著說完整：「我要一份蛋餅和一杯豆漿」","Laomedeia"
"breakfast_shop_not_enough_money_order_failed","可以這樣說：「我要一份蛋餅和一杯豆漿」","Laomedeia"
"breakfast_shop_not_enough_money_hear_total_perfect","很好！","Laomedeia"
"breakfast_shop_not_enough_money_hear_total_partial","說出了重點！","Laomedeia"
"breakfast_shop_not_enough_money_hear_total_failed","可以這樣說：「好的！」","Laomedeia"
"breakfast_shop_not_enough_money_not_enough_perfect","說得很誠實！這樣很棒！","Laomedeia"
"breakfast_shop_not_enough_money_not_enough_partial","說出了重點！誠實說出來才能讓老闆幫你","Laomedeia"
"breakfast_shop_not_enough_money_not_enough_failed","可以這樣說：「不好意思，我錢不夠，不能買」","Laomedeia"
"breakfast_shop_not_enough_money_adjust_perfect","很好！懂得隨機應變！","Laomedeia"
"breakfast_shop_not_enough_money_adjust_partial","說出了重點！有謝謝老闆很好！","Laomedeia"
"breakfast_shop_not_enough_money_adjust_failed","可以這樣說：「好的，謝謝！那我要豆漿！」","Laomedeia"
"breakfast_shop_wrong_order_order_perfect","說得很清楚！","Laomedeia"
"breakfast_shop_wrong_order_order_partial","說出了重點！","Laomedeia"
"breakfast_shop_wrong_order_order_failed","可以這樣說：「早安！我要一份蛋餅」","Laomedeia"
"breakfast_shop_wrong_order_confirm_perfect","說得很清楚！","Laomedeia"
"breakfast_shop_wrong_order_confirm_partial","說出了重點！","Laomedeia"
"breakfast_shop_wrong_order_confirm_failed","可以這樣說：「要加蛋！」","Laomedeia"
"breakfast_shop_wrong_order_change_mind_perfect","說得很有禮貌！記得要說「不好意思」！","Laomedeia"
"breakfast_shop_wrong_order_change_mind_partial","說出了要換的意思！記得加上「不好意思」會更禮貌","Laomedeia"
"breakfast_shop_wrong_order_change_mind_failed","可以這樣說：「不好意思，可以改成漢堡嗎？」","Laomedeia"
"breakfast_shop_wrong_order_confirm2_perfect","說得很清楚！","Laomedeia"
"breakfast_shop_wrong_order_confirm2_partial","說出了重點！加上謝謝很有禮貌","Laomedeia"
"breakfast_shop_wrong_order_confirm2_failed","可以這樣說：「不用了，謝謝！」","Laomedeia"
"breakfast_shop_wrong_order_checkout_perfect","很好！耐心等待很棒！","Laomedeia"
"breakfast_shop_wrong_order_checkout_partial","有說謝謝！很有禮貌！","Laomedeia"
"breakfast_shop_wrong_order_checkout_failed","可以這樣說：「好的，謝謝！」","Laomedeia"
"breakfast_shop_ask_recommendation_greet_ask_perfect","很好！懂得詢問推薦！","Laomedeia"
"breakfast_shop_ask_recommendation_greet_ask_partial","說出了重點！","Laomedeia"
"breakfast_shop_ask_recommendation_greet_ask_failed","可以這樣說：「早安！我不知道要吃什麼，有什麼推薦？」","Laomedeia"
"breakfast_shop_ask_recommendation_recommend_perfect","很好！接受推薦很棒！","Laomedeia"
"breakfast_shop_ask_recommendation_recommend_partial","說出了重點！","Laomedeia"
"breakfast_shop_ask_recommendation_recommend_failed","可以這樣說：「好的，我要蛋餅加蛋！」","Laomedeia"
"breakfast_shop_ask_recommendation_drink_perfect","說得很清楚！","Laomedeia"
"breakfast_shop_ask_recommendation_drink_partial","說出了重點！","Laomedeia"
"breakfast_shop_ask_recommendation_drink_failed","可以這樣說：「我要豆漿！」","Laomedeia"
"breakfast_shop_ask_recommendation_checkout_perfect","很棒！太有禮貌了！","Laomedeia"
"breakfast_shop_ask_recommendation_checkout_partial","有說謝謝！","Laomedeia"
"breakfast_shop_ask_recommendation_checkout_failed","可以這樣說：「好的，謝謝！」","Laomedeia"
"breakfast_shop_wait_too_long_ask_order_perfect","問得很有禮貌！「不好意思」說得很好！","Laomedeia"
"breakfast_shop_wait_too_long_ask_order_partial","說出了重點！加上「不好意思」更有禮貌","Laomedeia"
"breakfast_shop_wait_too_long_ask_order_failed","可以這樣說：「不好意思，請問我的餐點好了嗎？」","Laomedeia"
"breakfast_shop_wait_too_long_apology_perfect","很好！有耐心等待！","Laomedeia"
"breakfast_shop_wait_too_long_apology_partial","說出了重點！","Laomedeia"
"breakfast_shop_wait_too_long_apology_failed","可以這樣說：「沒關係，我等你！」","Laomedeia"
"breakfast_shop_wait_too_long_receive_perfect","說得很有禮貌！寬容的態度很棒！","Laomedeia"
"breakfast_shop_wait_too_long_receive_partial","有說謝謝！","Laomedeia"
"breakfast_shop_wait_too_long_receive_failed","可以這樣說：「謝謝！沒關係！」","Laomedeia"
"supermarket_basic_greeting_perfect","打招呼打得很有禮貌！很棒！","Aoede"
"supermarket_basic_greeting_partial","不錯！可以說得更完整一點","Aoede"
"supermarket_basic_greeting_failed","可以這樣說：「你好！」","Aoede"
"supermarket_basic_ask_location_perfect","問得很清楚！","Aoede"
"supermarket_basic_ask_location_partial","說出了部分重點！試著說完整：「請問蔬菜水果在哪裡？」","Aoede"
"supermarket_basic_ask_location_failed","可以這樣說：「請問蔬菜水果在哪裡？」","Aoede"
"supermarket_basic_ask_weigh_perfect","說得很清楚！","Aoede"
"supermarket_basic_ask_weigh_partial","說出了部分！試著說：「請幫我秤一下這個蘋果」","Aoede"
"supermarket_basic_ask_weigh_failed","可以這樣說：「請幫我秤一下這個蘋果」","Aoede"
"supermarket_basic_confirm_purchase_perfect","很好！購買意願說得很清楚！","Aoede"
"supermarket_basic_confirm_purchase_partial","說出了重點！可以說得更完整：「好的，我要買！」","Aoede"
"supermarket_basic_confirm_purchase_failed","可以這樣說：「好的，我要買！」","Aoede"
"supermarket_basic_checkout_perfect","說得很清楚！","Aoede"
"supermarket_basic_checkout_partial","聽到了！說清楚付款方式會更好","Aoede"
"supermarket_basic_checkout_failed","可以說：「我付現金」或「用悠遊卡」","Aoede"
"supermarket_basic_goodbye_perfect","道謝道得很有禮貌！太棒了！","Aoede"
"supermarket_basic_goodbye_partial","有說了！同時說謝謝和再見更完整喔","Aoede"
"supermarket_basic_goodbye_failed","可以這樣說：「謝謝再見！」","Aoede"
"supermarket_cant_find_item_greeting_perfect","很好！","Aoede"
"supermarket_cant_find_item_greeting_partial","可以說得更完整","Aoede"
"supermarket_cant_find_item_greeting_failed","可以這樣說：「你好！」","Aoede"
"supermarket_cant_find_item_ask_eggs_perfect","問得很清楚！","Aoede"
"supermarket_cant_find_item_ask_eggs_partial","說出了重點！試著說完整：「請問有機雞蛋在哪裡？」","Aoede"
"supermarket_cant_find_item_ask_eggs_failed","可以這樣說：「請問有機雞蛋在哪裡？」","Aoede"
"supermarket_cant_find_item_out_of_stock_perfect","很好！懂得詢問替代方案！","Aoede"
"supermarket_cant_find_item_out_of_stock_partial","說出了重點！可以問價格再決定","Aoede"
"supermarket_cant_find_item_out_of_stock_failed","可以這樣說：「普通雞蛋多少錢？」","Aoede"
"supermarket_cant_find_item_decide_perfect","很好！懂得隨機應變！","Aoede"
"supermarket_cant_find_item_decide_partial","說出了重點！","Aoede"
"supermarket_cant_find_item_decide_failed","可以這樣說：「好的，我要買！」","Aoede"
"supermarket_cant_find_item_goodbye_perfect","說得很有禮貌！太棒了！","Aoede"
"supermarket_cant_find_item_goodbye_partial","有說謝謝！很好！","Aoede"
"supermarket_cant_find_item_goodbye_failed","可以這樣說：「謝謝！再見！」","Aoede"
"supermarket_not_enough_money_greeting_perfect","很好！","Aoede"
"supermarket_not_enough_money_greeting_partial","可以說得更完整","Aoede"
"supermarket_not_enough_money_greeting_failed","可以這樣說：「你好！」","Aoede"
"supermarket_not_enough_money_checkout_start_perfect","說得很清楚！","Aoede"
"supermarket_not_enough_money_checkout_start_partial","說出了重點！","Aoede"
"supermarket_not_enough_money_checkout_start_failed","可以這樣說：「我付現金」","Aoede"
"supermarket_not_enough_money_not_enough_perfect","說得很誠實！很勇敢！","Aoede"
"supermarket_not_enough_money_not_enough_partial","說出了重點！讓收銀員知道是正確的！","Aoede"
"supermarket_not_enough_money_not_enough_failed","可以這樣說：「不好意思，我的錢不夠」","Aoede"
"supermarket_not_enough_money_return_item_perfect","很好！懂得解決問題！","Aoede"
"supermarket_not_enough_money_return_item_partial","說出了重點！","Aoede"
"supermarket_not_enough_money_return_item_failed","可以這樣說：「我放回牛奶好了」","Aoede"
"supermarket_not_enough_money_goodbye_perfect","說得很有禮貌！下次多帶一點錢喔！","Aoede"
"supermarket_not_enough_money_goodbye_partial","有說謝謝！","Aoede"
"supermarket_not_enough_money_goodbye_failed","可以這樣說：「謝謝！再見！」","Aoede"
"supermarket_damaged_product_find_damage_perfect","很好！主動反映問題很棒！","Aoede"
"supermarket_damaged_product_find_damage_partial","說出了重點！","Aoede"
"supermarket_damaged_product_find_damage_failed","可以這樣說：「不好意思，這瓶果汁好像有問題」","Aoede"
"supermarket_damaged_product_staff_check_perfect","很好！有耐心等待！","Aoede"
"supermarket_damaged_product_staff_check_partial","說出了重點！","Aoede"
"supermarket_damaged_product_staff_check_failed","可以這樣說：「謝謝！我等你！」","Aoede"
"supermarket_damaged_product_new_item_perfect","說得很有禮貌！","Aoede"
"supermarket_damaged_product_new_item_partial","有說謝謝！","Aoede"
"supermarket_damaged_product_new_item_failed","可以這樣說：「好的，謝謝！」","Aoede"
"supermarket_damaged_product_checkout_perfect","說得很有禮貌！太棒了！","Aoede"
"supermarket_damaged_product_checkout_partial","有說謝謝！","Aoede"
"supermarket_damaged_product_checkout_failed","可以這樣說：「謝謝！再見！」","Aoede"
"supermarket_wrong_change_pay_perfect","說得很清楚！","Aoede"
"supermarket_wrong_change_pay_partial","說出了重點！","Aoede"
"supermarket_wrong_change_pay_failed","可以這樣說：「我給你 100 元」","Aoede"
"supermarket_wrong_change_wrong_change_perfect","很好！勇敢禮貌地說出來！","Aoede"
"supermarket_wrong_change_wrong_change_partial","說出了重點！加上「不好意思」更有禮貌","Aoede"
"supermarket_wrong_change_wrong_change_failed","可以這樣說：「不好意思，找零好像不對」","Aoede"
"supermarket_wrong_change_corrected_perfect","說得很有禮貌！","Aoede"
"supermarket_wrong_change_corrected_partial","有說謝謝！","Aoede"
"supermarket_wrong_change_corrected_failed","可以這樣說：「沒關係，謝謝！」","Aoede"
"supermarket_ask_sale_greeting_perfect","問得很好！懂得找優惠！","Aoede"
"supermarket_ask_sale_greeting_partial","說出了重點！","Aoede"
"supermarket_ask_sale_greeting_failed","可以這樣說：「請問今天有沒有特賣？」","Aoede"
"supermarket_ask_sale_staff_answers_perfect","很好！積極去看看！","Aoede"
"supermarket_ask_sale_staff_answers_partial","說出了重點！","Aoede"
"supermarket_ask_sale_staff_answers_failed","可以這樣說：「好的，我去看看雞蛋！」","Aoede"
"supermarket_ask_sale_decide_perfect","很好！說得很有禮貌！","Aoede"
"supermarket_ask_sale_decide_partial","說出了重點！","Aoede"
"supermarket_ask_sale_decide_failed","可以這樣說：「謝謝，我自己去找！」","Aoede"
"supermarket_ask_sale_checkout_perfect","說得很有禮貌！","Aoede"
"supermarket_ask_sale_checkout_partial","有說謝謝！","Aoede"
"supermarket_ask_sale_checkout_failed","可以這樣說：「謝謝！再見！」","Aoede"
"night_market_basic_greeting_perfect","打招呼打得很好！","Sadachbia"
"night_market_basic_greeting_partial","不錯！可以說得更完整一點","Sadachbia"
"night_market_basic_greeting_failed","可以這樣說：「你好！」","Sadachbia"
"night_market_basic_order_perfect","點餐說得很清楚！","Sadachbia"
"night_market_basic_order_partial","說出了重點！試著說完整：「我要珍珠奶茶」","Sadachbia"
"night_market_basic_order_failed","可以這樣說：「我要珍珠奶茶」","Sadachbia"
"night_market_basic_size_perfect","說得很清楚！","Sadachbia"
"night_market_basic_size_partial","有說出重點！可以說：「大杯！」","Sadachbia"
"night_market_basic_size_failed","可以這樣說：「大杯！」","Sadachbia"
"night_market_basic_ask_price_perfect","問得很好！","Sadachbia"
"night_market_basic_ask_price_partial","說出了重點！可以加上「請問」會更有禮貌","Sadachbia"
"night_market_basic_ask_price_failed","可以這樣說：「請問多少錢？」","Sadachbia"
"night_market_basic_bargain_perfect","議價說得很有禮貌！","Sadachbia"
"night_market_basic_bargain_partial","說出了想法！可以說：「可以算我便宜一點嗎？」","Sadachbia"
"night_market_basic_bargain_failed","可以這樣說：「可以算我便宜一點嗎？」","Sadachbia"
"night_market_basic_checkout_perfect","太棒了！既道謝又說清楚付款方式！","Sadachbia"
"night_market_basic_checkout_partial","有說謝謝！可以再說一下付款方式","Sadachbia"
"night_market_basic_checkout_failed","可以這樣說：「謝謝！我付現金。」","Sadachbia"
"night_market_not_enough_money_order_ask_perfect","說得很完整！一次說清楚要什麼還問了價格！","Sadachbia"
"night_market_not_enough_money_order_ask_partial","說出了重點！試著同時說要什麼和問價格","Sadachbia"
"night_market_not_enough_money_order_ask_failed","可以這樣說：「我要珍珠奶茶，請問多少錢？」","Sadachbia"
"night_market_not_enough_money_hear_price_perfect","說得很清楚！","Sadachbia"
"night_market_not_enough_money_hear_price_partial","說出了重點！","Sadachbia"
"night_market_not_enough_money_hear_price_failed","可以這樣說：「我要小杯的」","Sadachbia"
"night_market_not_enough_money_check_money_perfect","說得很有禮貌！誠實很重要！","Sadachbia"
"night_market_not_enough_money_check_money_partial","說出了重點！","Sadachbia"
"night_market_not_enough_money_check_money_failed","可以這樣說：「不好意思，我的錢不夠」","Sadachbia"
"night_market_not_enough_money_vendor_response_perfect","很好！懂得接受別人的好意！","Sadachbia"
"night_market_not_enough_money_vendor_response_partial","說出了重點！","Sadachbia"
"night_market_not_enough_money_vendor_response_failed","可以這樣說：「好的，謝謝！」","Sadachbia"
"night_market_not_enough_money_goodbye_perfect","太棒了！有禮貌道別！","Sadachbia"
"night_market_not_enough_money_goodbye_partial","有說謝謝！再加上「再見」更完整","Sadachbia"
"night_market_not_enough_money_goodbye_failed","可以這樣說：「謝謝！再見！」","Sadachbia"
"night_market_wrong_flavor_order_perfect","點餐說得很清楚！","Sadachbia"
"night_market_wrong_flavor_order_partial","說出了重點！","Sadachbia"
"night_market_wrong_flavor_order_failed","可以這樣說：「我要冬瓜茶」","Sadachbia"
"night_market_wrong_flavor_receive_wrong_perfect","很好！說得很清楚！有「不好意思」更有禮貌！","Sadachbia"
"night_market_wrong_flavor_receive_wrong_partial","說出了重點！記得加上「不好意思」","Sadachbia"
"night_market_wrong_flavor_receive_wrong_failed","可以這樣說：「不好意思，我點的是冬瓜茶」","Sadachbia"
"night_market_wrong_flavor_vendor_fix_perfect","很好！寬容地說「沒關係」很棒！","Sadachbia"
"night_market_wrong_flavor_vendor_fix_partial","說出了重點！","Sadachbia"
"night_market_wrong_flavor_vendor_fix_failed","可以這樣說：「沒關係，謝謝！」","Sadachbia"
"night_market_wrong_flavor_checkout_perfect","太棒了！很有禮貌！","Sadachbia"
"night_market_wrong_flavor_checkout_partial","有說謝謝！","Sadachbia"
"night_market_wrong_flavor_checkout_failed","可以這樣說：「好的，謝謝！」","Sadachbia"
"night_market_find_stall_ask_direction_perfect","問得很清楚！「不好意思」說得很好！","Sadachbia"
"night_market_find_stall_ask_direction_partial","說出了重點！加上「不好意思」更有禮貌","Sadachbia"
"night_market_find_stall_ask_direction_failed","可以這樣說：「不好意思，請問珍珠奶茶攤在哪裡？」","Sadachbia"
"night_market_find_stall_directions_perfect","說得很有禮貌！","Sadachbia"
"night_market_find_stall_directions_partial","有說謝謝！","Sadachbia"
"night_market_find_stall_directions_failed","可以這樣說：「謝謝！我知道了！」","Sadachbia"
"night_market_find_stall_arrive_perfect","很好！找到攤位了，說得很清楚！","Sadachbia"
"night_market_find_stall_arrive_partial","說出了重點！","Sadachbia"
"night_market_find_stall_arrive_failed","可以這樣說：「你好！我要大杯珍珠奶茶！」","Sadachbia"
"night_market_find_stall_checkout_perfect","很棒！","Sadachbia"
"night_market_find_stall_checkout_partial","有說謝謝！","Sadachbia"
"night_market_find_stall_checkout_failed","可以這樣說：「好的，謝謝！」","Sadachbia"
"night_market_wrong_change_pay_perfect","說得很清楚！","Sadachbia"
"night_market_wrong_change_pay_partial","說出了重點！","Sadachbia"
"night_market_wrong_change_pay_failed","可以這樣說：「我給你 100 元」","Sadachbia"
"night_market_wrong_change_wrong_change_perfect","很好！禮貌指出很重要！","Sadachbia"
"night_market_wrong_change_wrong_change_partial","說出了重點！","Sadachbia"
"night_market_wrong_change_wrong_change_failed","可以這樣說：「不好意思，好像少找了 10 元」","Sadachbia"
"night_market_wrong_change_corrected_perfect","說得很有禮貌！大度說「沒關係」很棒！","Sadachbia"
"night_market_wrong_change_corrected_partial","有說謝謝！","Sadachbia"
"night_market_wrong_change_corrected_failed","可以這樣說：「沒關係，謝謝！」","Sadachbia"
"pharmacy_basic_greeting_perfect","打招呼打得很有禮貌！","Kore"
"pharmacy_basic_greeting_partial","不錯！可以說得更完整","Kore"
"pharmacy_basic_greeting_failed","可以這樣說：「你好！」","Kore"
"pharmacy_basic_describe_symptom_perfect","說明症狀說得很清楚！","Kore"
"pharmacy_basic_describe_symptom_partial","說出了症狀！試著說完整：「我頭痛」","Kore"
"pharmacy_basic_describe_symptom_failed","可以這樣說：「我頭痛」","Kore"
"pharmacy_basic_allergy_perfect","回答得很好！","Kore"
"pharmacy_basic_allergy_partial","說出了重點！可以說完整：「沒有過敏」","Kore"
"pharmacy_basic_allergy_failed","可以這樣說：「沒有過敏」","Kore"
"pharmacy_basic_ask_usage_perfect","問得很好！詢問用法很重要！","Kore"
"pharmacy_basic_ask_usage_partial","說出了部分！完整說：「請問這個藥怎麼吃？」","Kore"
"pharmacy_basic_ask_usage_failed","可以這樣說：「請問這個藥怎麼吃？」","Kore"
"pharmacy_basic_checkout_perfect","說得很清楚！","Kore"
"pharmacy_basic_checkout_partial","聽到了！說清楚付款方式會更好","Kore"
"pharmacy_basic_checkout_failed","可以說：「我付現金」或「我要刷卡」","Kore"
"pharmacy_basic_goodbye_perfect","道謝道得很有禮貌！保重喔！","Kore"
"pharmacy_basic_goodbye_partial","有說謝謝！可以再加上「再見」","Kore"
"pharmacy_basic_goodbye_failed","可以這樣說：「謝謝您！再見！」","Kore"
"pharmacy_out_of_stock_greeting_perfect","很好！","Kore"
"pharmacy_out_of_stock_greeting_partial","可以說得更完整","Kore"
"pharmacy_out_of_stock_greeting_failed","可以這樣說：「你好！」","Kore"
"pharmacy_out_of_stock_ask_medicine_perfect","說得很清楚！","Kore"
"pharmacy_out_of_stock_ask_medicine_partial","說出了重點！試著說完整：「請問有感冒藥嗎？」","Kore"
"pharmacy_out_of_stock_ask_medicine_failed","可以這樣說：「請問有感冒藥嗎？」","Kore"
"pharmacy_out_of_stock_out_of_stock_response_perfect","問得很好！詢問用法很重要！","Kore"
"pharmacy_out_of_stock_out_of_stock_response_partial","說出了重點！","Kore"
"pharmacy_out_of_stock_out_of_stock_response_failed","可以這樣說：「請問怎麼用？」","Kore"
"pharmacy_out_of_stock_decide_perfect","很好！懂得選擇替代方案！","Kore"
"pharmacy_out_of_stock_decide_partial","說出了重點！","Kore"
"pharmacy_out_of_stock_decide_failed","可以這樣說：「我要喉糖」","Kore"
"pharmacy_out_of_stock_checkout_perfect","很棒！付款和道謝都說到了！","Kore"
"pharmacy_out_of_stock_checkout_partial","說出了部分！可以同時說付款方式和謝謝","Kore"
